template_id,template_name,description,parser,generator,active
creative-synthesis-v2,Creative Synthesis V2 (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
creative-synthesis-v6,Creative Synthesis V6 (as draft),Legacy essay template reused for Phase-1 draft,essay_block,llm,False
creative-synthesis-v7,Creative Synthesis V7 (as draft),Legacy essay template reused for Phase-1 draft,essay_block,llm,False
creative-synthesis-v9,Creative Synthesis V9,Enhanced two-phase generation - Links Phase,,llm,False
creative-synthesis-v10,Creative Synthesis V10,Enhanced two-phase generation - Links Phase,,llm,False
pair-explorer,Pair Explorer,Explore and generate links between pairs of concepts,,llm,False
pair-explorer-recursive-v5,Pair Explorer Recursive V5,Advanced recursive exploration with enhanced link generation,,llm,False
recursive-light,Recursive Light,Precision mechanism design with recursion and lightweight strategy synthesis,,llm,False
recursive-precise-v2,Recursive Precise V2,Decision-tree approach with systematic validation and graph growth,,llm,False
recursive_construction,Recursive Construction,Problem-first constructive synthesis with online recursion,,llm,False
recursive-construction,Recursive Construction V1,Problem-first constructive synthesis with online recursion,,llm,False
rolling-summary-v1,Rolling Summary V1,Readable idea-thread recursion with enforced link types,,llm,False
rolling-summary-simplified-v1,Rolling Summary Simplified V1,Cumulative idea thread; 3–5 sentence Effect; +1 sentence growth per step,,llm,False
connective-thread-simplified-v1,Connective Thread Simplified V1,Single-thread integration as-if rolled; 4–6 short paragraphs,,llm,False
deliberate-rolling-thread-v2,Deliberate Rolling Thread V2,Tagged rolling idea (free-form thinking) with per-step <essay-idea>,essay_idea_last,llm,False
deliberate-rolling-thread-v3,Deliberate Rolling Thread V3,Tagged rolling idea (free-form thinking) with per-step <essay-idea>,essay_idea_last,llm,False
application-implementation-v2,Application Implementation V2 (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
essay-inventive-synthesis-v3,Essay Inventive Synthesis V3 (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
gwern_original,Gwern Original (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
problem-solving-v2,Problem Solving V2 (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
research-discovery-v3,Research Discovery V3 (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
systematic-analytical-v2,Systematic Analytical V2 (as draft),Legacy essay template reused for Phase-1 draft,,llm,True
